numberOfIterations,javaSortingAlgorithm,mySortingAlgorithm
1,8258000,139600500
2,562000,198600
3,616700,152400
4,645800,168900
5,678800,173600
6,837300,136800
7,646500,141500
8,556000,184200
9,590100,122700
10,546700,132900
11,692900,184800
12,551500,109800
13,515700,143200
14,566000,114600
15,4162100,128500
16,777300,429900
17,600500,1093000
18,696100,125300
19,544700,135800
20,500500,101000
21,438100,86800
22,424200,78200
23,414200,75500
24,411900,105700
25,410700,86600
26,431700,73300
27,418500,74400
28,418500,77100
29,411600,96400
30,723700,81000
31,572200,151900
32,544500,97400
33,547900,109800
34,760100,143400
35,402000,70800
36,516300,64000
37,395100,79300
38,440700,66600
39,479000,66400
40,488100,68000
41,1167200,128000
42,554400,116100
43,673500,221100
44,533200,125600
45,450500,111000
46,435100,76300
47,663500,119600
48,625700,113400
49,561000,121400
50,512900,145200
51,583600,102100
52,537600,180200
53,496900,103500
54,420600,75500
55,421800,88900
56,418300,73600
57,418000,71200
58,418400,80800
59,430400,71800
60,535300,72400
61,665500,120500
62,1218700,113100
63,1363900,200100
64,170300,117700
65,158900,130900
66,150700,116500
67,93500,110100
68,99800,125100
69,95800,104400
70,100000,116300
71,83900,125500
72,75300,113600
73,87300,157800
74,70800,111800
75,73000,115000
76,77200,109000
77,75600,102400
78,104500,131100
79,79900,131800
80,78200,115400
81,77300,118800
82,75800,133500
83,75200,126300
84,82600,117200
85,83100,134200
86,101000,123200
87,81000,116500
88,74000,122000
89,70800,116800
90,74900,106600
91,95700,137400
92,78300,122700
93,72300,108900
94,83700,113800
95,77900,114600
96,73200,117600
97,90700,129300
98,82200,125900
99,75000,120700
100,79800,113700
101,80600,166100
102,116900,125100
103,77300,129200
104,82800,110100
105,77000,125100
106,72300,118000
107,75900,118700
108,72300,113800
109,71300,124300
110,76500,109500
111,112800,113900
112,91200,97900
113,84100,134300
114,83100,128300
115,76600,120600
116,76600,141700
117,89600,118800
118,462300,246500
119,86700,101600
120,193700,95900
121,87200,222000
122,78000,96900
123,81200,102100
124,76300,112300
125,74700,106200
126,86600,130900
127,165700,145800
128,99300,97500
129,73800,108900
130,121800,143600
131,73400,123800
132,82700,113300
133,98500,105600
134,94000,110100
135,99500,109600
136,111600,120300
137,91600,117900
138,71000,102300
139,81400,114400
140,77600,198300
141,130100,1165500
142,85900,112400
143,98400,104000
144,75400,106000
145,92300,161300
146,71700,104000
147,70900,123600
148,66800,96700
149,134300,118500
150,82800,125900
151,74100,119200
152,88000,102400
153,63100,95900
154,86200,94300
155,50800,77500
156,48100,67600
157,49400,62300
158,48800,86500
159,47400,65400
160,51300,62600
161,51200,64400
162,57500,67800
163,53200,66000
164,50100,69900
165,49100,73400
166,51800,73800
167,49400,69900
168,50800,62300
169,51300,94300
170,75500,103100
171,55500,124000
172,49800,65900
173,47300,73700
174,114600,71100
175,98700,134600
176,82700,104600
177,79500,114900
178,239600,120600
179,97300,163800
180,83300,110800
181,74800,117500
182,86800,159800
183,85000,131800
184,86600,123400
185,78300,126800
186,78100,122500
187,75900,135500
188,104500,131800
189,87500,170000
190,124100,150400
191,153900,180300
192,91900,155700
193,91600,288500
194,68400,114200
195,105100,109500
196,70000,132100
197,70400,130900
198,76600,114200
199,74800,230300
200,106700,190900
201,89400,147100
202,104200,193900
203,75600,211700
204,75900,115800
205,454100,121900
206,90000,146900
207,77300,116000
208,70700,108600
209,91400,120600
210,107500,119000
211,80600,129800
212,70600,133200
213,67100,117800
214,88000,127400
215,80600,98200
216,87400,103200
217,90700,150400
218,88100,103800
219,69900,94600
220,76400,102100
221,72300,97600
222,83100,117600
223,74000,135200
224,68800,113500
225,110100,107300
226,71700,111300
227,75800,106400
228,83500,111600
229,71900,103100
230,136700,127900
231,103100,123200
232,65700,116800
233,71600,101100
234,91900,94300
235,73800,143500
236,67600,111400
237,63200,101400
238,77800,101000
239,298800,112700
240,144900,107900
241,118000,101200
242,96900,104400
243,89000,112100
244,80800,107400
245,70900,102600
246,185700,102400
247,94600,111900
248,82100,146400
249,70900,98900
250,83900,105500
251,78200,99400
252,73400,120500
253,72200,99000
254,69800,118600
255,70200,132100
256,89700,109300
257,72300,105200
258,83500,94000
259,68600,106900
260,109400,118600
261,65700,107600
262,73500,94100
263,91900,103300
264,116800,103300
265,93800,126000
266,138000,5838400
267,55000,71800
268,48200,44800
269,45700,43600
270,45000,42900
271,51400,46200
272,51700,64600
273,50400,73300
274,71000,88100
275,50600,94300
276,59200,83200
277,68800,97700
278,57900,102700
279,56200,64900
280,59800,53600
281,58800,58800
282,59400,58300
283,80200,60700
284,67000,69500
285,72000,109300
286,80300,137400
287,80900,152400
288,74900,98500
289,66900,87800
290,73900,101200
291,84600,66800
292,78600,72800
293,69100,77700
294,68800,80800
295,63000,84100
296,59400,64500
297,64200,67500
298,61300,59400
299,76300,73300
300,66500,67700
301,64700,62200
302,82700,76500
303,73400,68800
304,67000,74100
305,82300,75800
306,76100,61100
307,70200,68000
308,80200,83800
309,70300,114100
310,69400,60300
311,59000,61100
312,60600,63100
313,60500,57500
314,67500,86200
315,67400,54700
316,59300,55900
317,97800,63600
318,60400,58200
319,55000,53600
320,77400,62300
321,85100,71300
322,59100,85600
323,66000,62200
324,88200,51700
325,60000,67700
326,64600,52800
327,63600,52200
328,67300,61900
329,70500,63300
330,64700,57300
331,65900,61000
332,90300,76900
333,93100,70500
334,61700,53500
335,58000,56700
336,66900,62600
337,49000,55300
338,86800,73600
339,64200,59200
340,92700,54900
341,90800,88700
342,91100,108700
343,87400,93100
344,86400,95600
345,97200,1229400
346,65900,86500
347,64300,96600
348,73900,76400
349,64500,73800
350,70300,84300
351,64100,74500
352,61800,71600
353,72100,628800
354,67600,193500
355,63200,106700
356,68600,92700
357,187400,87600
358,73800,63200
359,232700,55600
360,87900,74600
361,79800,714400
362,62800,124800
363,60300,87900
364,61800,59800
365,78600,73600
366,68700,71100
367,65100,75800
368,64300,86900
369,72300,380300
370,63200,72200
371,67700,95100
372,59900,83300
373,73200,68900
374,66700,85800
375,67600,73500
376,65100,90500
377,75900,307200
378,63900,59600
379,62000,73400
380,193500,83100
381,71900,76900
382,68000,66000
383,66500,64900
384,96100,54400
385,61100,133900
386,91200,83300
387,61100,78900
388,67100,194300
389,71300,65000
390,56900,59100
391,100600,64300
392,192500,295000
393,77200,95100
394,70800,876500
395,56400,84100
396,62200,77200
397,70800,71000
398,62600,76400
399,69800,72400
400,66000,76100
401,64000,82400
402,74900,547800
403,66000,82000
404,60300,80400
405,63700,73700
406,71000,84100
407,200000,75900
408,67600,93600
409,63500,78200
410,68400,495500
411,65800,175000
412,62500,78100
413,59200,73300
414,67700,64300
415,129600,69800
416,59800,76400
417,211600,69200
418,73500,293400
419,1674800,73200
420,82600,82900
421,64500,57700
422,268900,58000
423,68500,52800
424,216200,60300
425,93900,67700
426,59400,152000
427,55300,52200
428,58400,60100
429,58800,66700
430,141400,54600
431,60500,55400
432,190200,60500
433,112600,175500
434,62700,55800
435,84000,706000
436,58400,64100
437,56600,60000
438,243000,64800
439,68000,70300
440,173100,62100
441,70300,64200
442,62200,63400
443,56000,523000
444,63600,87600
445,63200,54000
446,56600,58700
447,589000,62900
448,985700,60600
449,59000,90500
450,57700,82000
451,99100,422800
452,53800,88000
453,51200,98400
454,53800,90000
455,276200,69400
456,102500,89500
457,56100,92700
458,50700,92500
459,51500,336800
460,53200,65100
461,48900,66600
462,54000,65200
463,234500,84100
464,55100,83600
465,204700,65000
466,55600,83500
467,58700,186000
468,49900,99000
469,56000,81200
470,52200,90100
471,188500,91600
472,53800,90300
473,292700,434300
474,72000,95500
475,62700,653300
476,54300,690300
477,49400,85200
478,92000,466700
479,241800,62900
480,58700,63900
481,152000,56000
482,48400,56700
483,44000,97300
484,53200,517700
485,52900,56400
486,41100,54500
487,89000,56800
488,37200,54400
489,31100,54800
490,31300,55700
491,33600,54700
492,33200,442900
493,55800,76600
494,36500,55200
495,35200,63900
496,317300,60700
