numberOfIterations,javaSortingAlgorithm,mySortingAlgorithm
1,3513833,44549166
2,69166,36584
3,67667,23792
4,73708,24625
5,70750,24542
6,68167,24583
7,67833,24208
8,67500,24250
9,70875,26125
10,68333,25916
11,68875,22750
12,67708,24083
13,67416,24208
14,69917,24333
15,66042,26791
16,64500,21625
17,64625,22417
18,62875,22791
19,61834,22541
20,59916,21541
21,60708,21709
22,60250,21625
23,60666,21542
24,59875,21750
25,60208,22291
26,61000,21750
27,63834,22542
28,61833,22500
29,62333,22291
30,60916,25667
31,64208,22000
32,60250,21500
33,59333,19541
34,60208,19458
35,62125,19250
36,58084,28750
37,56958,24834
38,57500,20458
39,58792,20625
40,61042,20959
41,59459,20750
42,57667,20417
43,59250,19458
44,57250,19167
45,57083,19084
46,56875,19000
47,58625,19125
48,59250,20958
49,60625,20666
50,59375,19541
51,57250,19208
52,56875,18917
53,57041,19791
54,56916,19000
55,58000,18834
56,60292,17833
57,57500,18791
58,61334,20000
59,57750,18791
60,58792,19792
61,57125,19000
62,61333,21458
63,59833,20583
64,60625,25667
65,58166,20291
66,59791,19583
67,58958,19875
68,60875,19709
69,61500,19792
70,61875,20375
71,61584,20500
72,49917,43417
73,45500,20750
74,45375,21250
75,46166,20000
76,49500,20542
77,45833,20916
78,42625,20250
79,43708,20458
80,47209,20459
81,46083,20333
82,37708,22125
83,20083,20209
84,26708,20500
85,31791,20208
86,24500,19750
87,16167,20292
88,16875,19417
89,15500,19500
90,15792,19625
91,15542,19500
92,16584,19833
93,16000,21000
94,15542,19708
95,15541,20916
96,16542,19959
97,16417,21792
98,16125,22750
99,15667,21167
100,17084,19833
101,15500,19750
102,15500,19875
103,15542,20000
104,16750,19667
105,18666,18583
106,15542,20000
107,15792,19541
108,17000,19917
109,16709,18500
110,15583,20375
111,15750,19667
112,15500,19958
113,16500,20125
114,22083,19750
115,15583,19666
116,15458,19750
117,17084,19542
118,15791,20625
119,15542,20084
120,15500,19875
121,21166,19833
122,16250,20458
123,15542,20500
124,15459,19625
125,17334,20625
126,16041,20541
127,15583,21417
128,17208,20084
129,17792,20959
130,16041,20458
131,16417,20875
132,15916,20541
133,16583,20125
134,15500,19500
135,15583,19791
136,15500,19792
137,16500,19458
138,19375,18625
139,17792,21125
140,16458,20417
141,15750,19875
142,16709,19667
143,15500,19791
144,15584,20625
145,15583,19875
146,16583,19792
147,15500,19917
148,15792,19792
149,15834,19875
150,20292,19708
151,15542,21541
152,15791,20875
153,15458,21042
154,17791,22167
155,16083,21708
156,16084,21167
157,16084,20959
158,17708,21208
159,16375,20708
160,15542,21125
161,15500,20042
162,17041,20166
163,15625,20542
164,15542,20250
165,15458,19916
166,16916,20083
167,15541,21125
168,15541,20041
169,15791,20083
170,17083,20333
171,15458,20167
172,15792,20584
173,15541,20041
174,16917,20125
175,16750,18709
176,15500,20041
177,15500,20000
178,16834,20167
179,15875,19959
180,15750,19875
181,15500,20042
182,15834,20083
183,28375,18708
184,15500,20291
185,15542,20167
186,15459,19667
187,16833,19875
188,15500,20250
189,15875,19916
190,15750,19875
191,16916,20292
192,15500,19750
193,16541,21333
194,16125,20583
195,17542,20958
196,16084,21500
197,16166,20875
198,16125,20500
199,17542,20667
200,16417,21084
201,18000,21167
202,16167,21666
203,17292,20542
204,15458,19542
205,17917,19959
206,16125,20292
207,19416,20416
208,16292,21041
209,17458,19958
210,15875,19958
211,16792,22084
212,15375,21834
213,15667,21042
214,15375,21292
215,16666,20375
216,15875,20000
217,16000,20000
218,15375,20208
219,16458,19791
220,15750,20000
221,16375,20791
222,16083,20708
223,17583,20708
224,16167,21625
225,17334,19583
226,23500,20000
227,17167,20333
228,15958,20292
229,16291,20125
230,16750,20541
231,16959,19583
232,16583,18708
233,15417,20292
234,15625,19667
235,16750,19625
236,16125,21417
237,16125,21208
238,15333,19750
239,15334,19792
240,16791,18542
241,15583,19834
242,15375,19708
243,15375,19833
244,16708,19666
245,15333,20084
246,16083,22083
247,15959,20458
248,16334,20125
249,17500,19583
250,16083,20542
251,18375,20417
252,18542,20500
253,16000,21333
254,16208,20291
255,15958,20625
256,18125,20584
257,15958,20083
258,15958,20834
259,15834,20250
260,17041,20083
261,16250,20375
262,15541,20125
263,15375,20000
264,19167,19500
265,15625,21000
266,15250,21250
267,15292,20791
268,16708,20666
269,15292,20333
270,15292,19959
271,15584,19959
272,16833,20459
273,15292,20125
274,15292,20000
275,15542,19625
276,16500,20291
277,15375,20583
278,15375,19792
279,15291,20000
280,16584,20125
281,15709,20625
282,15542,19584
283,15333,19625
284,16542,19875
285,15542,19959
286,15291,19666
287,15292,19959
288,17000,19667
289,16542,18917
290,15292,20042
291,15292,20292
292,17167,20000
293,15542,20125
294,15334,20000
295,15709,31292
296,15292,20208
297,16333,18875
298,15292,19500
299,15291,19500
300,15250,19542
301,16625,19834
302,15625,19709
303,15542,19542
304,15291,20125
305,16292,19417
306,15542,19292
307,15291,19958
308,15292,19833
309,16417,19709
310,15250,20417
311,15333,20208
312,15666,19917
313,16583,19583
314,15208,19750
315,15334,20042
316,15541,19916
317,16458,20000
318,15333,20083
319,15333,19708
320,15333,19750
321,17750,19792
322,15625,20292
323,15667,19709
324,18750,23083
325,17083,22250
326,17209,23125
327,15958,21250
328,16750,93709
329,16541,19916
330,15375,19459
331,15417,19375
332,15709,19542
333,16625,19333
334,20750,20583
335,15959,20417
336,16709,20042
337,17333,20000
338,16084,55500
339,15833,20166
340,18334,20167
341,26500,22000
342,15958,20500
343,16167,20209
344,16041,19958
345,17000,20167
346,16833,19000
347,15917,20500
348,16000,33208
349,16792,20250
350,15750,20417
351,15750,20500
352,15750,20334
353,16083,20041
354,17084,18958
355,15791,20083
356,15750,20166
357,16084,20042
358,16792,20000
359,16250,97917
360,15875,19958
361,15750,20042
362,16875,20000
363,16083,20208
364,16000,20209
365,15792,20000
366,17750,20042
367,15959,19958
368,15750,20042
369,15917,73250
370,16958,20167
371,15667,20125
372,15667,20334
373,16166,20000
374,17042,20000
375,15708,20541
376,15709,20167
377,25375,20459
378,21875,20583
379,16000,56875
380,15750,21750
381,15792,20667
382,17250,21041
383,15875,23417
384,16916,21250
385,16083,20792
386,17083,20584
387,15667,20875
388,32458,20542
389,15917,37375
390,17042,20875
391,15709,20875
392,15833,20417
393,15917,20542
394,19750,21291
395,16125,21541
396,15750,20500
397,15625,20916
398,27666,20625
399,15666,20625
400,15792,95084
401,15708,20416
402,16917,20292
403,16833,19083
404,16000,20542
405,15917,20917
406,31458,20375
407,15709,20541
408,21958,20417
409,15750,20333
410,15667,76791
411,16709,18875
412,15667,20333
413,15625,20042
414,15875,20208
415,17250,20291
416,15625,20583
417,15667,19833
418,15583,20250
419,34000,20166
420,15958,58625
421,15625,20500
422,15667,20333
423,18042,20667
424,15583,20500
425,15958,20416
426,16125,20375
427,16792,20209
428,15583,20208
429,29125,20416
430,15917,40625
431,16833,20791
432,15625,20291
433,15625,20250
434,15667,20167
435,19167,20125
436,34625,20208
437,28041,63417
438,34584,20833
439,29334,20917
440,15750,20875
441,15750,99042
442,15750,22833
443,16916,20500
444,15583,20542
445,16000,20667
446,31042,20208
447,17000,20542
448,15625,21291
449,21250,20208
450,15666,20208
451,16958,80375
452,15625,21084
453,15667,20167
454,15625,20250
455,17208,20000
456,20875,20250
457,15709,20292
458,15625,20000
459,16833,19958
460,33375,19125
461,16000,61709
462,15667,20083
463,19083,20166
464,16625,20375
465,15833,20291
466,27791,20208
467,37208,21000
468,18041,19208
469,18958,20042
470,28500,20250
471,16084,43459
472,16333,19958
473,15042,20625
474,15041,20208
475,15125,20417
476,24541,20166
477,31208,20250
478,15125,20292
479,15125,20709
480,24667,20167
481,15250,25750
482,15209,20292
483,15125,20416
484,16167,20250
485,15083,20125
486,21542,20417
487,26209,20334
488,16459,20292
489,14958,20208
490,19500,20250
491,15125,20250
492,19833,83791
493,15125,21875
494,15083,20917
495,15042,20625
496,20625,20708
497,21209,20625
498,15166,20542
499,15042,20542
500,16459,20500
501,30458,20625
502,15167,64958
503,15083,20666
504,16458,20584
505,15000,20917
506,15208,20708
507,25750,21209
508,37875,20917
509,15167,21125
510,15083,20291
511,26542,20167
512,17125,48000
513,16000,22083
514,15125,20625
515,15083,20625
516,16875,20416
517,26500,19250
518,32708,20625
519,13750,42959
520,13916,20208
521,11417,20542
522,11625,28583
523,11416,20000
524,11458,20208
525,12459,19042
526,11375,20125
527,18084,20208
528,23125,20250
529,12500,19833
530,11416,20250
531,11375,19917
532,11375,20000
533,12625,88375
534,11416,19916
535,11375,20375
536,11417,20166
537,17167,20167
538,18333,21041
539,11417,20000
540,11458,19958
541,12542,20000
542,11375,20125
543,11500,69042
544,11458,20291
545,12541,20042
546,11292,19875
547,11458,20125
548,22291,22916
549,37333,20291
550,11458,20208
551,11375,20000
552,11416,20291
553,12708,50500
554,11417,21417
555,11375,21875
556,11458,22167
557,12500,20250
558,20333,19750
559,29625,20042
560,11417,20083
561,12500,20000
562,11417,20584
563,11458,31000
564,11708,20500
565,12916,20583
566,11416,20958
567,11417,19959
568,18125,20417
569,25042,20209
570,11416,20417
571,11375,19958
572,11416,20041
573,12708,20291
574,12750,89250
575,11417,20334
576,11375,19958
577,12666,20125
578,16334,20000
579,19000,20167
580,11542,20292
581,11417,20500
582,12667,18875
583,11500,20250
584,11458,72041
585,11417,19958
586,12500,20208
587,11375,20334
588,14167,20042
589,14209,20292
590,12750,20292
591,11375,20292
592,11375,20209
593,11417,19916
594,12791,53292
595,11375,20708
596,11417,19959
597,11458,20083
598,12541,20041
599,20584,20042
600,30625,20334
